#x	y	index	Name	Type	to	from
689	-2496	59	W59	TAXI_NODE	1	1
685	-2505	60	W60	TAXI_NODE	1	1
677	-2510	61	W61	TAXI_NODE	1	1
684	-2513	62	W62	TAXI_NODE	1	1
690	-2521	63	W63	TAXI_NODE	1	1
691	-2555	64	W64	TAXI_NODE	1	1
686	-2564	65	W65	TAXI_NODE	1	1
676	-2569	66	W66	TAXI_NODE	1	1
686	-2573	67	W67	TAXI_NODE	1	1
691	-2581	68	W68	TAXI_NODE	1	1
691	-2613	69	W69	TAXI_NODE	1	1
685	-2627	70	W70	TAXI_NODE	1	1
671	-2637	71	W71	TAXI_NODE	1	1
638	-2637	72	W72	TAXI_NODE	1	1
619	-2638	73	W73	TAXI_NODE	1	1
605	-2630	74	W74	TAXI_NODE	1	1
599	-2615	75	W75	TAXI_NODE	1	1
599	-2591	76	W76	TAXI_NODE	1	1
605	-2577	77	W77	TAXI_NODE	1	1
618	-2570	78	W78	TAXI_NODE	1	1
607	-2564	79	W79	TAXI_NODE	1	1
598	-2549	80	W80	TAXI_NODE	1	1
598	-2534	81	W81	TAXI_NODE	1	1
604	-2521	82	W82	TAXI_NODE	1	1
616	-2511	83	W83	TAXI_NODE	1	1
604	-2505	84	W84	TAXI_NODE	1	1
597	-2493	85	W85	TAXI_NODE	1	1
596	-2475	86	W86	TAXI_NODE	1	1
602	-2463	87	W87	TAXI_NODE	1	1
615	-2457	88	W88	TAXI_NODE	1	1
604	-2449	89	W90	TAXI_NODE	1	1
596	-2437	90	W91	TAXI_NODE	1	1
595	-2420	91	W92	TAXI_NODE	1	1
602	-2407	92	W93	TAXI_NODE	1	1
613	-2399	93	W94	TAXI_NODE	1	1
602	-2392	94	W95	TAXI_NODE	1	1
595	-2380	95	W96	TAXI_NODE	1	1
594	-2361	96	W97	TAXI_NODE	1	1
600	-2351	97	W98	TAXI_NODE	1	1
614	-2344	98	W99	TAXI_NODE	1	1
602	-2337	99	W100	TAXI_NODE	1	1
594	-2325	100	W101	TAXI_NODE	1	1
593	-2318	101	W102	TAXI_NODE	1	1
593	-2306	102	W103	TAXI_NODE	1	1
599	-2294	103	W104	TAXI_NODE	1	1
613	-2284	104	W105	TAXI_NODE	1	1
600	-2279	105	W106	TAXI_NODE	1	1
592	-2265	106	W107	TAXI_NODE	1	1
592	-2248	107	W108	TAXI_NODE	1	1
599	-2236	108	W109	TAXI_NODE	1	1
612	-2228	109	W110	TAXI_NODE	1	1
599	-2223	110	W112	TAXI_NODE	1	1
591	-2206	111	W113	TAXI_NODE	1	1
590	-2190	112	W114	TAXI_NODE	1	1
597	-2180	113	W115	TAXI_NODE	1	1
610	-2174	114	W116	TAXI_NODE	1	1
598	-2167	115	W117	TAXI_NODE	1	1
589	-2152	116	W118	TAXI_NODE	1	1
589	-2136	117	W119	TAXI_NODE	1	1
595	-2122	118	W120	TAXI_NODE	1	1
607	-2114	119	W121	TAXI_NODE	1	1
595	-2108	120	W122	TAXI_NODE	1	1
588	-2094	121	W123	TAXI_NODE	1	1
588	-2079	122	W124	TAXI_NODE	1	1
580	-2110	123	W125	TAXI_NODE	1	1
565	-2116	124	W126	TAXI_NODE	1	1
514	-2117	125	W127	TAXI_NODE	1	1
500	-2114	126	W128	TAXI_NODE	1	1
493	-2104	127	W129	TAXI_NODE	1	1
493	-2079	128	W130	TAXI_NODE	1	1
499	-2068	129	W131	TAXI_NODE	1	1
511	-2062	130	W132	TAXI_NODE	1	1
565	-2061	131	W133	TAXI_NODE	1	1
580	-2067	132	W134	TAXI_NODE	1	1
595	-2065	133	W135	TAXI_NODE	1	1
607	-2057	134	W136	TAXI_NODE	1	1
595	-2052	135	W137	TAXI_NODE	1	1
587	-2040	136	W138	TAXI_NODE	1	1
586	-2023	137	W139	TAXI_NODE	1	1
581	-2053	138	W140	TAXI_NODE	1	1
499	-2055	139	W141	TAXI_NODE	1	1
492	-2045	140	W142	TAXI_NODE	1	1
492	-2025	141	W143	TAXI_NODE	1	1
497	-2015	142	W144	TAXI_NODE	1	1
509	-2007	143	W145	TAXI_NODE	1	1
564	-2006	144	W146	TAXI_NODE	1	1
578	-2011	145	W147	TAXI_NODE	1	1
593	-2010	146	W148	TAXI_NODE	1	1
606	-2003	147	W149	TAXI_NODE	1	1
593	-1996	148	W150	TAXI_NODE	1	1
586	-1984	149	W151	TAXI_NODE	1	1
579	-1999	150	W152	TAXI_NODE	1	1
496	-2001	151	W153	TAXI_NODE	1	1
491	-1992	152	W154	TAXI_NODE	1	1
491	-1970	153	W155	TAXI_NODE	1	1
495	-1958	154	W156	TAXI_NODE	1	1
506	-1952	155	W157	TAXI_NODE	1	1
562	-1951	156	W158	TAXI_NODE	1	1
577	-1956	157	W159	TAXI_NODE	1	1
585	-1968	158	W160	TAXI_NODE	1	1
592	-1952	159	W161	TAXI_NODE	1	1
1028	-2629	160	B0	GATE_NODE	1	1
984	-2630	161	W163	TAXI_NODE	1	1
982	-2585	162	B1	GATE_NODE	1	1
981	-2606	163	W165	TAXI_NODE	1	1
974	-2621	164	W166	TAXI_NODE	1	1
955	-2631	165	W167	TAXI_NODE	1	1
924	-2631	166	W168	TAXI_NODE	1	1
908	-2622	167	W169	TAXI_NODE	1	1
900	-2607	168	W170	TAXI_NODE	1	1
900	-2587	169	B3	GATE_NODE	1	1
895	-2622	170	W172	TAXI_NODE	1	1
880	-2633	171	W173	TAXI_NODE	1	1
895	-2641	172	W172	TAXI_NODE	1	1
901	-2662	173	W175	TAXI_NODE	1	1
902	-2681	174	B2	GATE_NODE	1	1
908	-2643	175	W177	TAXI_NODE	1	1
842	-2633	176	W178	TAXI_NODE	1	1
827	-2626	177	W179	TAXI_NODE	1	1
819	-2610	178	W180	TAXI_NODE	1	1
818	-2589	179	B5	GATE_NODE	1	1
812	-2625	180	W182	TAXI_NODE	1	1
796	-2634	181	W183	TAXI_NODE	1	1
813	-2641	182	W184	TAXI_NODE	1	1
820	-2660	183	W185	TAXI_NODE	1	1
820	-2682	184	B4	GATE_NODE	1	1
828	-2643	185	W187	TAXI_NODE	1	1
725	-2636	186	Spot2	SPOT_NODE	1	1
579	-2639	187	W189	TAXI_NODE	1	1
564	-2639	188	W190	TAXI_NODE	1	1
525	-2640	189	W191	TAXI_NODE	1	1
506	-2640	190	W192	TAXI_NODE	1	1
474	-2641	191	W193	TAXI_NODE	1	1
462	-2641	192	W194	TAXI_NODE	1	1
436	-2651	193	W195	TAXI_NODE	1	1
411	-2673	194	W196	TAXI_NODE	1	1
404	-2692	195	W197	TAXI_NODE	1	1
387	-2704	196	W198	TAXI_NODE	1	1
403	-2709	197	W199	TAXI_NODE	1	1
411	-2719	198	W200	TAXI_NODE	1	1
412	-2727	199	W201	TAXI_NODE	1	1
419	-2737	200	W202	TAXI_NODE	1	1
430	-2741	201	W203	TAXI_NODE	1	1
420	-2747	202	W204	TAXI_NODE	1	1
412	-2756	203	W205	TAXI_NODE	1	1
415	-2827	204	W206	TAXI_NODE	1	1
422	-2836	205	W207	TAXI_NODE	1	1
432	-2841	206	W208	TAXI_NODE	1	1
422	-2847	207	W209	TAXI_NODE	1	1
414	-2862	208	W210	TAXI_NODE	1	1
424	-3321	209	W211	TAXI_NODE	1	1
425	-3375	210	W212	TAXI_NODE	1	1
396	-3425	211	W213	TAXI_NODE	1	1
210	-3652	212	W214	TAXI_NODE	1	1
186	-3668	213	W215	TAXI_NODE	1	1
167	-3672	214	W216	TAXI_NODE	1	1
108	-3673	215	W217	TAXI_NODE	1	1
97	-3668	216	W218	TAXI_NODE	1	1
79	-3658	217	W219	TAXI_NODE	1	1
75	-3639	218	W220	TAXI_NODE	1	1
74	-3627	219	W221	DEPARTURE_NODE	1	1
72	-3449	220	W222	TAXI_NODE	1	1
83	-3423	221	W223	TAXI_NODE	1	1
110	-3409	222	W224	TAXI_NODE	1	1
161	-3410	223	W225	TAXI_NODE	1	1
343	-3406	224	W226	TAXI_NODE	1	1
398	-3404	225	W227	TAXI_NODE	1	1
425	-3404	226	W228	TAXI_NODE	1	1
457	-3402	227	W229	TAXI_NODE	1	1
600	-3399	228	W230	TAXI_NODE	1	1
607	-3399	229	W231	TAXI_NODE	1	1
620	-3399	230	W232	TAXI_NODE	1	1
625	-3403	231	W233	TAXI_NODE	1	1
629	-3412	232	W234	TAXI_NODE	1	1
632	-3582	233	W235	TAXI_NODE	1	1
627	-3590	234	W236	TAXI_NODE	1	1
618	-3594	235	W237	TAXI_NODE	1	1
455	-3598	236	W238	TAXI_NODE	1	1
439	-3592	237	W239	TAXI_NODE	1	1
430	-3578	238	W240	TAXI_NODE	1	1
427	-3433	239	W241	TAXI_NODE	1	1
437	-3413	240	W242	TAXI_NODE	1	1
1025	-1883	241	A0	GATE_NODE	1	1
1001	-1883	242	W244	TAXI_NODE	1	1
980	-1875	243	W245	TAXI_NODE	1	1
971	-1857	244	W246	TAXI_NODE	1	1
970	-1821	245	A1	GATE_NODE	1	1
962	-1876	246	W248	TAXI_NODE	1	1
945	-1885	247	W249	TAXI_NODE	1	1
923	-1886	248	W250	TAXI_NODE	1	1
901	-1878	249	W251	TAXI_NODE	1	1
890	-1859	250	W252	TAXI_NODE	1	1
889	-1822	251	A2	GATE_NODE	1	1
880	-1879	252	W254	TAXI_NODE	1	1
864	-1887	253	W255	TAXI_NODE	1	1
843	-1888	254	W256	TAXI_NODE	1	1
821	-1880	255	W257	TAXI_NODE	1	1
809	-1860	256	W258	TAXI_NODE	1	1
809	-1824	257	A3	GATE_NODE	1	1
800	-1878	258	W260	TAXI_NODE	1	1
783	-1888	259	W261	TAXI_NODE	1	1
592	-1884	260	W263	TAXI_NODE	1	1
583	-1869	261	W264	TAXI_NODE	1	1
581	-1782	262	W265	TAXI_NODE	1	1
571	-1761	263	W266	TAXI_NODE	1	1
548	-1747	264	W267	TAXI_NODE	1	1
524	-1745	265	W268	TAXI_NODE	1	1
416	-1748	266	W269	TAXI_NODE	1	1
390	-1725	267	W270	TAXI_NODE	1	1
386	-1546	268	W271	TAXI_NODE	1	1
398	-1524	269	W272	TAXI_NODE	1	1
421	-1515	270	W273	TAXI_NODE	1	1
447	-1514	271	W274	TAXI_NODE	1	1
471	-1505	272	W275	TAXI_NODE	1	1
485	-1479	273	W276	TAXI_NODE	1	1
483	-1453	274	W277	TAXI_NODE	1	1
469	-1431	275	W278	TAXI_NODE	1	1
445	-1423	276	W279	TAXI_NODE	1	1
418	-1423	277	W280	TAXI_NODE	1	1
396	-1414	278	W281	TAXI_NODE	1	1
383	-1389	279	W282	TAXI_NODE	1	1
380	-1222	280	W283	TAXI_NODE	1	1
353	-1174	281	W284	TAXI_NODE	1	1
297	-1149	282	W285	TAXI_NODE	1	1
353	-1139	283	W286	TAXI_NODE	1	1
376	-1095	284	W287	TAXI_NODE	1	1
356	-21	285	W288	TAXI_NODE	1	1
344	17	286	W289	TAXI_NODE	1	1
309	52	287	W290	TAXI_NODE	1	1
243	118	288	W291	TAXI_NODE	1	1
225	94	289	W292	TAXI_NODE	1	1
208	145	290	W294	TAXI_NODE	1	1
172	109	291	W295	TAXI_NODE	1	1
164	152	292	W298	TAXI_NODE	1	1
134	142	293	W299	TAXI_NODE	1	1
106	113	294	W300	TAXI_NODE	1	1
87	76	295	W301	TAXI_NODE	1	1
71	62	296	W302	QUEUE_NODE	1	1
36	60	297	W303	QUEUE_NODE	1	1
17	52	298	W304	QUEUE_NODE	1	1
3	32	299	W305	QUEUE_NODE	1	1
0	26	300	W306	QUEUE_NODE	1	1
0	14	301	W307	QUEUE_NODE	1	1
0	0	302	W308	DEPARTURE_NODE	1	1
23	-1078	303	W309	TAXI_NODE	1	1
24	-1101	304	W310	TAXI_NODE	1	1
24	-1115	305	W311	TAXI_NODE	1	1
36	-1139	306	W312	TAXI_NODE	1	1
66	-1153	307	W313	TAXI_NODE	1	1
115	-1152	308	W314	TAXI_NODE	1	1
400	-1756	309	W315	TAXI_NODE	1	1
391	-1775	310	W316	TAXI_NODE	1	1
409	-2592	311	W317	TAXI_NODE	1	1
411	-2655	312	W318	TAXI_NODE	1	1
400	-2678	313	W319	TAXI_NODE	1	1
383	-2696	314	W320	TAXI_NODE	1	1
359	-2705	315	W321	TAXI_NODE	1	1
148	-2709	316	W322	TAXI_NODE	1	1
95	-2709	317	W323	TAXI_NODE	1	1
73	-2721	318	W324	TAXI_NODE	1	1
57	-2763	319	W325	TAXI_NODE	1	1
70	-3358	320	W326	ARRIVAL_NODE	1	1
70	-3376	321	W327	TAXI_NODE	1	1
84	-3397	322	W328	TAXI_NODE	1	1
501	-2124	323	W330	TAXI_NODE	1	1
494	-2135	324	W331	TAXI_NODE	1	1
495	-2160	325	W332	TAXI_NODE	1	1
502	-2168	326	W333	TAXI_NODE	1	1
512	-2173	327	W334	TAXI_NODE	1	1
501	-2179	328	W335	TAXI_NODE	1	1
495	-2191	329	W336	TAXI_NODE	1	1
496	-2215	330	W337	TAXI_NODE	1	1
501	-2223	331	W338	TAXI_NODE	1	1
511	-2227	332	W339	TAXI_NODE	1	1
501	-2233	333	W340	TAXI_NODE	1	1
497	-2241	334	W341	TAXI_NODE	1	1
497	-2268	335	W342	TAXI_NODE	1	1
502	-2277	336	W343	TAXI_NODE	1	1
516	-2282	337	W344	TAXI_NODE	1	1
502	-2289	338	W345	TAXI_NODE	1	1
497	-2298	339	W346	TAXI_NODE	1	1
498	-2322	340	W347	TAXI_NODE	1	1
506	-2332	341	W348	TAXI_NODE	1	1
519	-2337	342	W349	TAXI_NODE	1	1
507	-2346	343	W350	TAXI_NODE	1	1
499	-2353	344	W351	TAXI_NODE	1	1
499	-2378	345	W352	TAXI_NODE	1	1
505	-2388	346	W353	TAXI_NODE	1	1
520	-2393	347	W354	TAXI_NODE	1	1
505	-2398	348	W355	TAXI_NODE	1	1
500	-2406	349	W356	TAXI_NODE	1	1
500	-2437	350	W357	TAXI_NODE	1	1
505	-2444	351	W358	TAXI_NODE	1	1
519	-2448	352	W359	TAXI_NODE	1	1
505	-2454	353	W360	TAXI_NODE	1	1
501	-2461	354	W361	TAXI_NODE	1	1
501	-2490	355	W362	TAXI_NODE	1	1
507	-2498	356	W363	TAXI_NODE	1	1
519	-2503	357	W364	TAXI_NODE	1	1
507	-2508	358	W365	TAXI_NODE	1	1
502	-2518	359	W366	TAXI_NODE	1	1
502	-2546	360	W367	TAXI_NODE	1	1
506	-2555	361	W368	TAXI_NODE	1	1
517	-2558	362	W369	TAXI_NODE	1	1
508	-2563	363	W370	TAXI_NODE	1	1
503	-2571	364	W371	TAXI_NODE	1	1
504	-2623	365	W372	TAXI_NODE	1	1
499	-2634	366	W373	TAXI_NODE	1	1
439	-2635	367	W374	TAXI_NODE	1	1
420	-2618	368	W375	TAXI_NODE	1	1
592	-2631	369	W376	TAXI_NODE	1	1
598	-2577	370	W377	TAXI_NODE	1	1
591	-2564	371	W378	TAXI_NODE	1	1
574	-2557	372	W379	TAXI_NODE	1	1
591	-2548	373	W380	TAXI_NODE	1	1
597	-2522	374	W381	TAXI_NODE	1	1
589	-2509	375	W382	TAXI_NODE	1	1
574	-2502	376	W383	TAXI_NODE	1	1
589	-2495	377	W384	TAXI_NODE	1	1
596	-2468	378	W385	TAXI_NODE	1	1
588	-2454	379	W386	TAXI_NODE	1	1
573	-2448	380	W387	TAXI_NODE	1	1
588	-2440	381	W388	TAXI_NODE	1	1
595	-2411	382	W389	TAXI_NODE	1	1
586	-2398	383	W390	TAXI_NODE	1	1
572	-2392	384	W391	TAXI_NODE	1	1
586	-2386	385	W392	TAXI_NODE	1	1
593	-2353	386	W393	TAXI_NODE	1	1
586	-2344	387	W394	TAXI_NODE	1	1
571	-2336	388	W395	TAXI_NODE	1	1
585	-2330	389	W396	TAXI_NODE	1	1
592	-2299	390	W397	TAXI_NODE	1	1
586	-2289	391	W398	TAXI_NODE	1	1
571	-2281	392	W399	TAXI_NODE	1	1
584	-2275	393	W400	TAXI_NODE	1	1
592	-2241	394	W401	TAXI_NODE	1	1
582	-2232	395	W402	TAXI_NODE	1	1
569	-2226	396	W403	TAXI_NODE	1	1
583	-2219	397	W404	TAXI_NODE	1	1
582	-2179	398	W405	TAXI_NODE	1	1
566	-2172	399	W406	TAXI_NODE	1	1
582	-2164	400	W407	TAXI_NODE	1	1
582	-2123	401	W408	TAXI_NODE	1	1
399	-3374	402	W409	TAXI_NODE	1	1
614	-3391	403	W410	TAXI_NODE	1	1
613	-3359	404	W411	TAXI_NODE	1	1
616	-3352	405	W412	TAXI_NODE	1	1
621	-3348	406	W413	TAXI_NODE	1	1
650	-3348	407	W414	TAXI_NODE	1	1
661	-3354	408	W415	TAXI_NODE	1	1
668	-3366	409	W416	TAXI_NODE	1	1
668	-3381	410	W417	TAXI_NODE	1	1
662	-3391	411	W418	TAXI_NODE	1	1
649	-3399	412	W419	TAXI_NODE	1	1
702	-3398	413	W420	TAXI_NODE	1	1
712	-3393	414	W421	TAXI_NODE	1	1
717	-3385	415	W422	TAXI_NODE	1	1
716	-3305	416	W423	TAXI_NODE	1	1
709	-3292	417	W424	TAXI_NODE	1	1
696	-3284	418	W425	TAXI_NODE	1	1
682	-3287	419	W426	TAXI_NODE	1	1
671	-3295	420	W427	TAXI_NODE	1	1
667	-3315	421	W428	TAXI_NODE	1	1
660	-3305	422	W429	TAXI_NODE	1	1
648	-3299	423	W430	TAXI_NODE	1	1
622	-3300	424	W431	TAXI_NODE	1	1
616	-3303	425	W432	TAXI_NODE	1	1
612	-3311	426	W433	TAXI_NODE	1	1
612	-3256	427	W434	TAXI_NODE	1	1
619	-3248	428	W435	TAXI_NODE	1	1
648	-3247	429	W436	TAXI_NODE	1	1
658	-3254	430	W437	TAXI_NODE	1	1
666	-3269	431	W438	TAXI_NODE	1	1
379	-2710	432	W439	TAXI_NODE	1	1
400	-2728	433	W440	TAXI_NODE	1	1
409	-2743	434	W441	TAXI_NODE	1	1
474	-2741	435	W442	TAXI_NODE	1	1
511	-2741	436	W443	TAXI_NODE	1	1
529	-2740	437	W444	TAXI_NODE	1	1
565	-2739	438	W445	TAXI_NODE	1	1
584	-2739	439	W446	TAXI_NODE	1	1
619	-2738	440	W447	TAXI_NODE	1	1
640	-2738	441	W448	TAXI_NODE	1	1
652	-2743	442	W449	TAXI_NODE	1	1
658	-2754	443	W450	TAXI_NODE	1	1
659	-2822	444	W451	TAXI_NODE	1	1
655	-2830	445	W452	TAXI_NODE	1	1
646	-2837	446	W453	TAXI_NODE	1	1
623	-2838	447	W454	TAXI_NODE	1	1
611	-2833	448	W455	TAXI_NODE	1	1
604	-2820	449	W456	TAXI_NODE	1	1
603	-2755	450	W457	TAXI_NODE	1	1
602	-2721	451	W458	TAXI_NODE	1	1
600	-2656	452	W459	TAXI_NODE	1	1
545	-2658	453	W460	TAXI_NODE	1	1
547	-2722	454	W461	TAXI_NODE	1	1
548	-2757	455	W462	TAXI_NODE	1	1
549	-2821	456	W463	TAXI_NODE	1	1
572	-2839	457	W464	TAXI_NODE	1	1
587	-2838	458	W465	TAXI_NODE	1	1
532	-2840	459	W466	TAXI_NODE	1	1
511	-2840	460	W467	TAXI_NODE	1	1
476	-2841	461	W468	TAXI_NODE	1	1
489	-2832	462	W469	TAXI_NODE	1	1
495	-2822	463	W470	TAXI_NODE	1	1
493	-2757	464	W471	TAXI_NODE	1	1
492	-2724	465	W472	TAXI_NODE	1	1
490	-2658	466	W473	TAXI_NODE	1	1
656	-2656	467	W474	TAXI_NODE	1	1
657	-2720	468	W475	TAXI_NODE	1	1
651	-2731	469	W476	TAXI_NODE	1	1
608	-2732	470	W477	TAXI_NODE	1	1
596	-2732	471	W478	TAXI_NODE	1	1
554	-2734	472	W479	TAXI_NODE	1	1
540	-2734	473	W480	TAXI_NODE	1	1
499	-2735	474	W481	TAXI_NODE	1	1
485	-2735	475	W482	TAXI_NODE	1	1
486	-2747	476	W483	TAXI_NODE	1	1
498	-2748	477	W484	TAXI_NODE	1	1
541	-2746	478	W485	TAXI_NODE	1	1
553	-2747	479	W486	TAXI_NODE	1	1
596	-2744	480	W487	TAXI_NODE	1	1
609	-2743	481	W488	TAXI_NODE	1	1
598	-2831	482	W489	TAXI_NODE	1	1
543	-2832	483	W490	TAXI_NODE	1	1
502	-2833	484	W491	TAXI_NODE	1	1
496	-2648	485	W492	TAXI_NODE	1	1
540	-2647	486	W493	TAXI_NODE	1	1
550	-2647	487	W494	TAXI_NODE	1	1
595	-2646	488	W495	TAXI_NODE	1	1
606	-2646	489	W496	TAXI_NODE	1	1
650	-2646	490	W497	TAXI_NODE	1	1
661	-2645	491	W498	TAXI_NODE	1	1
43	-1164	492	W499	TAXI_NODE	1	1
25	-1195	493	W500	ARRIVAL_NODE	1	1
57	-2655	494	W501	ARRIVAL_NODE	1	1
68	-2696	495	W502	TAXI_NODE	1	1
399	-1432	496	W503	TAXI_NODE	1	1
385	-1457	497	W504	TAXI_NODE	1	1
385	-1485	498	W505	TAXI_NODE	1	1
398	-1505	499	W506	TAXI_NODE	1	1
152	61	500	W507	TAXI_NODE	1	1
206	61	501	W508	TAXI_NODE	1	1
